feature,type,importance
curl_stress_curl,gain,0.0
fsle_fsle_max,gain,0.0
glorys_mlotst_surface,gain,0.0
glorys_thetao_surface,gain,0.792136965138865
glorys_vo_surface,gain,0.0
glorys_thetao_surface_grad,gain,0.0
curl_stress_curl,permutation,0.0
fsle_fsle_max,permutation,0.0
glorys_mlotst_surface,permutation,0.0
glorys_thetao_surface,permutation,1.6758064089706788
glorys_vo_surface,permutation,0.0
glorys_thetao_surface_grad,permutation,0.0
curl_stress_curl,shap,0.0
fsle_fsle_max,shap,0.0
glorys_mlotst_surface,shap,0.0
glorys_thetao_surface,shap,2.560006893831187
glorys_vo_surface,shap,0.0
glorys_thetao_surface_grad,shap,0.0
